"iso2c","country","date","rr_distress"
"SE","Sweden",1978-03-01,0
"SE","Sweden",1978-09-01,0
"SE","Sweden",1979-03-01,0
"SE","Sweden",1979-09-01,0
"SE","Sweden",1980-03-01,0
"SE","Sweden",1980-09-01,0
"SE","Sweden",1981-03-01,0
"SE","Sweden",1981-09-01,0
"SE","Sweden",1982-03-01,0
"SE","Sweden",1982-09-01,0
"SE","Sweden",1983-03-01,0
"SE","Sweden",1983-09-01,0
"SE","Sweden",1984-03-01,0
"SE","Sweden",1984-09-01,0
"SE","Sweden",1985-03-01,0
"SE","Sweden",1985-09-01,0
"SE","Sweden",1986-03-01,0
"SE","Sweden",1986-09-01,0
"SE","Sweden",1987-03-01,0
"SE","Sweden",1987-09-01,0
"SE","Sweden",1988-03-01,0
"SE","Sweden",1988-09-01,0
"SE","Sweden",1989-03-01,0
"SE","Sweden",1989-09-01,0
"SE","Sweden",1990-03-01,0
"SE","Sweden",1990-09-01,0
"SE","Sweden",1991-03-01,0
"SE","Sweden",1991-09-01,0
"SE","Sweden",1992-03-01,0
"SE","Sweden",1992-09-01,5
"SE","Sweden",1993-03-01,8
"SE","Sweden",1993-09-01,0
"SE","Sweden",1994-03-01,0
"SE","Sweden",1994-09-01,0
"SE","Sweden",1995-03-01,0
"SE","Sweden",1995-09-01,0
"SE","Sweden",1996-03-01,0
"SE","Sweden",1996-09-01,0
"SE","Sweden",1997-03-01,0
"SE","Sweden",1997-09-01,0
"SE","Sweden",1998-03-01,0
"SE","Sweden",1998-09-01,0
"SE","Sweden",1999-03-01,0
"SE","Sweden",1999-09-01,0
"SE","Sweden",2000-03-01,0
"SE","Sweden",2000-09-01,0
"SE","Sweden",2001-03-01,0
"SE","Sweden",2001-09-01,0
"SE","Sweden",2002-03-01,0
"SE","Sweden",2002-09-01,0
"SE","Sweden",2003-03-01,0
"SE","Sweden",2003-09-01,0
"SE","Sweden",2004-03-01,0
"SE","Sweden",2004-09-01,0
"SE","Sweden",2005-03-01,0
"SE","Sweden",2005-09-01,0
"SE","Sweden",2006-03-01,0
"SE","Sweden",2006-09-01,0
"SE","Sweden",2007-03-01,0
"TR","Turkey",1974-09-01,0
"TR","Turkey",1975-03-01,0
"TR","Turkey",1975-09-01,0
"TR","Turkey",1976-03-01,0
"TR","Turkey",1976-09-01,0
"TR","Turkey",1977-03-01,0
"TR","Turkey",1977-09-01,0
"TR","Turkey",1978-03-01,0
"TR","Turkey",1978-09-01,0
"TR","Turkey",1979-03-01,0
"TR","Turkey",1979-09-01,0
"TR","Turkey",1980-03-01,0
"TR","Turkey",1980-09-01,0
"TR","Turkey",1981-03-01,0
"TR","Turkey",1981-09-01,0
"TR","Turkey",1982-03-01,0
"TR","Turkey",1982-09-01,0
"TR","Turkey",1983-03-01,0
"TR","Turkey",1983-09-01,0
"TR","Turkey",1984-03-01,0
"TR","Turkey",1984-09-01,0
"TR","Turkey",1985-03-01,0
"TR","Turkey",1985-09-01,0
"TR","Turkey",1986-03-01,0
"TR","Turkey",1986-09-01,0
"TR","Turkey",1987-03-01,0
"TR","Turkey",1987-09-01,0
"TR","Turkey",1988-03-01,0
"TR","Turkey",1988-09-01,0
"TR","Turkey",1989-03-01,0
"TR","Turkey",1989-09-01,0
"TR","Turkey",1990-03-01,0
"TR","Turkey",1990-09-01,0
"TR","Turkey",1991-03-01,0
"TR","Turkey",1991-09-01,0
"TR","Turkey",1992-03-01,0
"TR","Turkey",1992-09-01,0
"TR","Turkey",1993-03-01,0
"TR","Turkey",1993-09-01,0
"TR","Turkey",1994-03-01,0
"TR","Turkey",1994-09-01,0
"TR","Turkey",1995-03-01,0
"TR","Turkey",1995-09-01,0
"TR","Turkey",1996-03-01,0
"TR","Turkey",1996-09-01,0
"TR","Turkey",1997-03-01,0
"TR","Turkey",1997-09-01,0
"TR","Turkey",1998-03-01,0
"TR","Turkey",1998-09-01,0
"TR","Turkey",1999-03-01,0
"TR","Turkey",1999-09-01,0
"TR","Turkey",2000-03-01,0
"TR","Turkey",2000-09-01,0
"TR","Turkey",2001-03-01,8
"TR","Turkey",2001-09-01,8
"TR","Turkey",2002-03-01,6
"TR","Turkey",2002-09-01,4
"TR","Turkey",2003-03-01,4
"TR","Turkey",2003-09-01,3
"TR","Turkey",2004-03-01,0
"TR","Turkey",2004-09-01,0
"TR","Turkey",2005-03-01,0
"TR","Turkey",2005-09-01,0
"TR","Turkey",2006-03-01,0
"TR","Turkey",2006-09-01,0
"TR","Turkey",2007-03-01,0
"US","United States",1974-09-01,0
"US","United States",1975-03-01,0
"US","United States",1975-09-01,0
"US","United States",1976-03-01,0
"US","United States",1976-09-01,0
"US","United States",1977-03-01,0
"US","United States",1977-09-01,0
"US","United States",1978-03-01,0
"US","United States",1978-09-01,0
"US","United States",1979-03-01,0
"US","United States",1979-09-01,0
"US","United States",1980-03-01,0
"US","United States",1980-09-01,0
"US","United States",1981-03-01,0
"US","United States",1981-09-01,0
