"iso2c","RR_BankingCrisis","RR_StockMarketCrash","RR_CurrencyCrisis","date"
"AU","0","0","0",1878-06-01
"AU","0","0","0",1879-06-01
"AU","0","0","0",1880-06-01
"AU","0","0","0",1881-06-01
"AU","0","0","0",1882-06-01
"AU","0","0","0",1883-06-01
"AU","0","0","0",1884-06-01
"AU","0","0","0",1885-06-01
"AU","0","0","0",1886-06-01
"AU","0","0","0",1887-06-01
"AU","0","0","0",1888-06-01
"AU","0","0","0",1889-06-01
"AU","0","0","0",1890-06-01
"AU","0","0","0",1891-06-01
"AU","0","0","0",1892-06-01
"AU","1","0","0",1893-06-01
"AU","0","0","0",1894-06-01
"AU","0","0","0",1895-06-01
"AU","0","0","0",1896-06-01
"AU","0","0","0",1897-06-01
"AU","0","0","0",1898-06-01
"AU","0","0","0",1899-06-01
"AU","0","0","0",1900-06-01
"AU","0","0","0",1901-06-01
"AU","0","0","0",1902-06-01
"AU","0","0","0",1903-06-01
"AU","0","0","0",1904-06-01
"AU","0","0","0",1905-06-01
"AU","0","0","0",1906-06-01
"AU","0","0","0",1907-06-01
"AU","0","0","0",1908-06-01
"AU","0","0","0",1909-06-01
"AU","0","0","0",1910-06-01
"AU","0","0","0",1911-06-01
"AU","0","0","0",1912-06-01
"AU","0","0","0",1913-06-01
"AU","0","0","0",1914-06-01
"AU","0","1","0",1915-06-01
"AU","0","1","0",1916-06-01
"AU","0","0","0",1917-06-01
"AU","0","0","0",1918-06-01
"AU","0","0","0",1919-06-01
"AU","0","0","1",1920-06-01
"AU","0","0","0",1921-06-01
"AU","0","0","0",1922-06-01
"AU","0","0","0",1923-06-01
"AU","0","0","0",1924-06-01
"AU","0","0","0",1925-06-01
"AU","0","0","0",1926-06-01
"AU","0","0","0",1927-06-01
"AU","0","0","0",1928-06-01
"AU","0","1","0",1929-06-01
"AU","0","1","0",1930-06-01
"AU","1","0","1",1931-06-01
"AU","1","0","1",1932-06-01
"AU","0","0","0",1933-06-01
"AU","0","0","0",1934-06-01
"AU","0","0","0",1935-06-01
"AU","0","0","0",1936-06-01
"AU","0","1","0",1937-06-01
"AU","0","1","0",1938-06-01
"AU","0","1","1",1939-06-01
"AU","0","1","0",1940-06-01
"AU","0","1","0",1941-06-01
"AU","0","0","0",1942-06-01
"AU","0","0","0",1943-06-01
"AU","0","0","0",1944-06-01
"AU","0","0","0",1945-06-01
"AU","0","0","0",1946-06-01
"AU","0","0","1",1947-06-01
"AU","0","0","0",1948-06-01
"AU","0","0","0",1949-06-01
"AU","0","0","0",1950-06-01
"AU","0","1","0",1951-06-01
"AU","0","1","0",1952-06-01
