"word_stem","variable_importance"
"primarili",6.57913680605525e-07
"prime",1.49176111486284e-05
"prioriti",5.00693163554166e-06
"privat",6.21330034554263e-06
"privatesector",2.82455891925467e-06
"privatis",3.61185984476482e-06
"problem",6.9960244432412e-06
"problems",7.33075240797926e-07
"proceed",1.92757154015765e-06
"process",1.53027783348001e-05
"produc",1.06017115720144e-06
"product",6.95032357600733e-06
"production",1.35276956820309e-06
"profit",3.17798466834498e-06
"programm",2.37092583435117e-05
"programme",5.82202993337472e-06
"programmes",-1.34359922338121e-07
"progress",2.21914479570912e-05
"project",2.61957189395276e-05
"projects",2.23533821745519e-06
"promis",3.38258489325863e-06
"promot",3.31124373815365e-06
"prompt",1.30183294696392e-06
"properti",6.20740537107612e-07
"proport",1.03218987855894e-06
"propos",1.02017760024722e-05
"prospect",1.4907845650835e-06
"protect",3.04085692020099e-06
"prove",1.46138443665543e-06
"provid",2.78897417254372e-05
"provis",3.94217915254819e-06
"public",7.40125786268274e-05
"publicsector",4.02440902193615e-06
"publish",7.97962214528932e-06
"purchas",5.9167988029452e-06
"pursu",3.4823481197936e-06
"push",5.04985974043688e-06
"put",4.12879649237664e-06
"quarter",1.17275840105338e-05
"question",2.5012082079746e-06
"quick",1.22624799477781e-07
"rais",9.50865491654123e-06
"rang",2.63207891340872e-06
"rapid",4.93741827369115e-06
"rapidly",5.24471724289753e-07
"rate",0.00286406808186014
"rates",3.82157615200856e-05
"ratio",1.35935179455701e-06
"reach",3.90091644729815e-06
"real",2.62789589041557e-05
"reason",7.41543925380896e-07
"rebound",1.09278793732894e-06
"receipt",1.39945220253358e-06
"receipts",7.78364231561282e-07
"receiv",3.68687065244956e-05
"recent",5.11524649454498e-06
"recess",2.62329810041161e-06
"recession",4.57774416716765e-07
"recommend",1.06908993053334e-06
"reconstruct",7.63501630960468e-07
"record",4.3669240223415e-06
"recov",2.11002839529907e-06
"recoveri",5.27776084168226e-06
"recovery",5.92274957637601e-07
"reduc",6.60581362938729e-06
"reduct",7.67547853646917e-06
"refer",5.13591465523154e-07
"refinanc",2.44113338930813e-06
"reflect",5.77120411744293e-06
"reform",4.13216169143073e-05
"reforms",2.74585656438719e-06
"regard",6.32402576801307e-07
"regim",7.98542534605356e-07
"regime",6.81208753477986e-07
"region",8.76323536994485e-05
"regist",9.11365033619847e-07
"regul",4.77497820189851e-06
"regulatori",5.83448072648462e-07
"rein",4.43637224710221e-07
"relat",1.02389594491665e-05
"releas",3.85898165243699e-06
"reli",2.45616907064488e-06
"relief",5.57659125231178e-06
"reluct",6.8710471292884e-07
"remain",9.50224243319235e-06
"remaind",7.68193588215e-07
"remitt",4.30801630652029e-06
"remov",2.02250524588655e-06
"renew",5.31915977178042e-07
"repatri",1.94812877335795e-06
"repay",1.09316554893396e-06
"repeat",2.25713515945561e-07
"replac",3.73311578108526e-06
"repo",4.79015205883957e-06
"report",0.000217200980162098
"repres",4.07165932286501e-06
"requir",1.21946986663407e-05
"reserv",7.88497363509551e-06
"reserves",2.23035230610403e-06
"resist",9.55693431534906e-07
"resourc",2.83760751444082e-06
"respect",1.62108495774381e-07
"respond",2.41497139087912e-07
"respons",3.83025030656107e-06
"rest",8.226672338902e-07
"restor",1.35017475074057e-06
"restrain",7.0027972395997e-07
"restrict",1.34347665440893e-06
"restructur",7.06268735015105e-06
"result",4.88520416702641e-06
"resum",2.16029587001806e-07
"retail",1.18545801223432e-06
"retain",1.01799765372395e-06
"return",3.53859828144786e-06
"revenu",1.03607963800949e-05
"revenue",3.31714326132103e-06
"revers",8.00914786544732e-07
"review",6.75552188643028e-06
"revis",3.28569625946922e-06
"right",4.77707249433991e-06
