"word_stem","variable_importance"
"import",4.11518978182871e-05
"imports",3.95477668840978e-06
"impos",1.48613687063749e-06
"improv",1.3140736125473e-05
"includ",0.000206796155491968
"incom",1.36025462736593e-05
"income",1.05290845197247e-06
"increas",2.40347468737872e-05
"increase",1.14438499704482e-06
"indebt",3.77613139611315e-06
"independ",5.26560362684027e-06
"index",9.95081396166279e-06
"indic",5.74021171625341e-06
"individu",1.24347865032907e-06
"industri",1.77542172985031e-05
"industry",5.48157611137398e-06
"inflat",0.000368964674797366
"inflation",1.93029614064161e-05
"inflationari",6.1084744277897e-05
"inflow",3.65987380640445e-05
"inflows",4.97700562630576e-06
"influenc",7.47242217070391e-06
"inform",2.70129958513645e-06
"infrastructur",3.59804135894383e-06
"infrastructure",1.35531303247175e-06
"initi",5.27478660316408e-06
"institut",3.94427045279333e-05
"institutions",4.40595327011022e-06
"instrument",4.02647966484522e-06
"insur",9.13135755212811e-06
"intellig",7.15822353660174e-06
"intend",5.59022685246688e-06
"interbank",4.03126511103332e-06
"interest",0.000563257179921431
"intern",1.33891350084022e-05
"internat",3.504046921051e-05
"interven",3.42420711346165e-06
"intervent",3.21346634609393e-06
"introduc",4.65203581806157e-06
"introduct",4.31970367468542e-06
"invest",2.1404734692801e-05
"investment",7.71681441685112e-06
"investor",7.90033759115358e-06
"investors",1.90630730550104e-06
"involv",1.20748944756159e-05
"issu",2.33459382449061e-05
"januari",9.43579369944644e-06
"january",1.12972880292698e-06
"japan",1.66660952064551e-06
"job",1.47775396752955e-06
"join",2.9023001998923e-07
"joint",1.88341565597491e-05
"juli",7.63099433813092e-06
"july",1.03939904633444e-06
"june",1.27553429191181e-05
"keen",1.31839223467857e-06
"keep",2.30009002854945e-06
"key",8.30473693653944e-06
"labour",4.43196303915135e-06
"lack",9.27729038172656e-06
"land",1.22720967609223e-06
"larg",1.69708313181661e-05
"larger",1.87179581440132e-06
"largest",1.92134614401949e-05
"late",9.31818154909441e-06
"latest",3.17282551552478e-06
"launch",2.03070091920708e-05
"law",1.1492142431223e-05
"lead",7.20959724534916e-06
"leader",5.35898225919906e-06
"leav",1.55417232473869e-06
"led",6.01186769138509e-06
"left",6.3163667961663e-07
"legal",2.31541216408941e-06
"legisl",4.70725542871572e-06
"lend",2.16343216282211e-05
"lending",1.46401177341841e-06
"level",1.67025893410551e-05
"levels",2.73577207084801e-06
"liberalis",2.33183928552636e-06
"lift",3.19639943094109e-06
"light",3.11572878945891e-07
"limit",1.06703689427334e-05
"line",5.95031293065174e-06
"link",9.90940654071927e-06
"liquid",1.47521429309566e-05
"liquidity",1.9819819168338e-06
"list",8.33548128906697e-06
"live",4.60528704612443e-07
"loan",0.00185764606531796
"loans",7.16796687166652e-06
"local",2.3953716710048e-05
"long",5.36555721361208e-06
"longer",1.66289770630008e-06
"longterm",3.97314003919995e-06
"loosen",6.01373632939868e-06
"loss",4.09275514117668e-06
"low",1.41718416606706e-05
"lower",1.19724944742637e-05
"lowest",5.59069414447272e-07
"macroeconom",4.81662885713316e-06
"made",3.4658559167336e-05
"main",1.69586865922195e-05
"maintain",2.18706577511159e-05
"major",9.14632124427277e-06
"make",1.02472200793384e-05
"manag",3.36558680644043e-05
"management",1.86325382511551e-06
"manufactur",4.10241616116506e-06
"march",1.62613255147788e-05
"margin",7.10371140038213e-06
"mark",4.19825832170998e-06
"market",3.12374786989604e-05
"markets",9.34068315417756e-06
"massiv",1.20370196757101e-06
"may",1.32499522167678e-05
"mean",3.47335155864101e-06
"meanwhile",6.68362725275406e-07
"measur",1.40437567833279e-05
"measures",1.84183841897884e-06
"medium",2.33290806318925e-06
"mediumterm",7.9790245755555e-07
"meet",1.20501373024227e-05
"member",4.61256104198069e-05
"merchandis",1.76036280652092e-06
"met",8.13766605360432e-07
"mid",3.01872495080965e-06
"middl",1.95360836706718e-06
"militari",7.31373118579021e-06
"mine",4.95376048901684e-06
"minimum",4.5582434481977e-06
"minist",0.000126120092053269
"minister",0.000166533468078865
"ministri",2.65556276306695e-05
"moder",4.57740997911151e-05
"modest",1.26951678566577e-05
"monetari",0.000342834408921181
"money",1.9480050866034e-05
"monitor",1.24785657250603e-06
"month",2.31572158865332e-05
"months",2.31756303270209e-06
"moreover",2.07943048693622e-06
"mortgag",1.84566659180301e-06
"move",8.90518411908423e-06
"movement",2.59419350619953e-06
"multilater",3.23913482119352e-06
"narrow",1.5744661250001e-05
"nation",0.000225397007642514
"natur",2.03711744523181e-06
"need",2.06371827637349e-06
"negat",6.70976779185807e-06
"negoti",4.50679002544856e-06
"neighbour",4.19711362253985e-07
"net",1.9433949275921e-05
"nevertheless",3.25617443590111e-06
"new",2.17267118778677e-05
"nomin",3.3212907001529e-06
"nonetheless",1.27898953933456e-06
"notabl",1.50315470362652e-06
"note",1.36336556165097e-05
"novemb",8.90243740828498e-06
"november",4.35276445438048e-07
"number",5.28171584418066e-05
"object",7.94527454538636e-06
"obtain",2.30426227274874e-06
"occur",8.34845570993316e-07
"october",1.58865852095229e-05
"oecd",8.56825552033504e-06
"offer",3.62945340146503e-05
"offic",2.29859353242645e-06
"office",9.86976776101337e-07
"offici",1.4231572667155e-05
"offset",1.3504927106067e-05
"oil",2.68406104088875e-05
"one",1.7948605521976e-06
"ongo",2.3181908679345e-06
"open",5.2906675660512e-06
"oper",5.06175428080237e-05
"opportun",1.78050806993517e-06
"opposit",7.65982240733558e-06
"order",1.22992883290972e-05
"organis",5.96201502270668e-06
"origin",3.80720750556469e-06
"outflow",2.14236411575825e-06
"outlook",3.56947282561596e-05
"output",6.22064092872604e-06
"outstand",4.04062592577474e-06
"overall",6.44299003568242e-06
"oversea",1.89806662238103e-06
"owe",8.00758871811344e-06
"pace",1.42952620590278e-05
"packag",1.94614142925562e-06
"paid",6.12680735694233e-06
"pariti",4.52981216474233e-06
"parliament",1.12875005448906e-05
"parliamentari",4.824604917679e-06
"part",1.18254243119844e-05
"parti",1.07248865284883e-05
"particip",1.68107614462311e-06
"partner",1.7403126507446e-06
"party",1.38441414980354e-06
"pass",6.83731852654485e-07
"past",5.43254881977153e-06
"pay",6.90214034906364e-06
"payment",7.91159889114387e-06
"payments",2.78884278204342e-06
"peak",1.83453679121758e-06
"peg",8.47736024784464e-06
"pension",3.88960590041743e-06
"peopl",8.28832166176439e-06
"percentag",2.54203206359892e-06
"perform",8.86110305704074e-06
"performance",9.86628713319403e-07
"period",2.91220273204566e-05
"persist",5.11350122189821e-06
"person",2.2738998107734e-06
"phase",7.62135343574749e-07
"pick",2.25885193209321e-05
"place",9.66707611024862e-06
"plan",0.000426089817028607
"plant",1.29675463012484e-06
"play",3.26017200718503e-06
"pledg",1.91700310653471e-06
"point",8.52669796632319e-06
"points",6.62934951156687e-06
"polici",7.25047610431225e-05
"policies",1.92269135510308e-07
"policy",1.64069166315799e-05
"policymak",4.89317223703549e-06
"polit",2.92453759895416e-05
"poor",8.4261588126003e-06
"popul",1.46092002913727e-06
"popular",1.35687102664927e-06
"portfolio",1.56603784775908e-06
"pose",1.13722208416494e-06
"posit",8.63657187948614e-06
"position",1.29305741535801e-06
"possibl",2.95290296446998e-06
"post",1.46364089639938e-06
"potenti",8.44220023805423e-06
"poverti",6.87357715606364e-06
"power",1.33612297183453e-05
"prefer",7.96759576698895e-07
"preliminari",2.53213944044695e-07
"prepar",3.16628281686772e-06
"present",7.06234463640227e-06
"presid",7.51345351442286e-06
"president",4.37775596105244e-06
"presidenti",1.83520731261253e-06
"press",1.43978651862921e-06
"pressur",5.1967650032333e-05
"pressure",2.73160586932411e-06
"pressures",1.03434474212268e-05
"prevent",1.83886828342723e-06
"previous",1.38249644073987e-05
"prgf",2.64065260447431e-06
"price",0.000162118173661937
"prices",2.0451134853353e-05
"primari",4.57964425980645e-06
"primarili",2.03222888721243e-06
"prime",1.32095999967053e-05
"prioriti",1.25507388651923e-05
"privat",1.3204935670403e-05
"privatesector",7.24123018149865e-06
"privatis",9.5146635918822e-06
"problem",1.2285328062222e-05
"proceed",2.40623107520388e-06
"process",1.00346969758234e-05
"produc",2.11786316200036e-06
"product",1.23097750848739e-05
"production",1.25094018774648e-06
"profit",7.36587198177111e-06
"programm",2.43759365866461e-05
"programme",6.08765682540861e-06
"progress",8.66011677056013e-06
"project",3.16208714177579e-05
"projects",2.2883208203809e-06
"promis",5.3794704238906e-06
"promot",2.66342416245476e-06
"prompt",3.40960049927789e-06
"properti",2.38881843802188e-06
"proport",3.21446239701298e-06
"propos",1.23754728747165e-05
"prospect",5.05739989349115e-06
"protect",4.1580197759259e-06
"prove",1.55271117184613e-06
"provid",4.23609402881039e-05
"provis",3.30048612858296e-06
"public",2.94457526163991e-05
"publicsector",3.81303156994798e-06
"publish",2.15703738127039e-05
"purchas",1.16863234420535e-05
"pursu",3.79309764282756e-06
"push",7.42299387660312e-06
"put",2.72825912318679e-06
"quarter",6.22349274486488e-05
"question",5.26367986060393e-06
"quick",5.57827370020169e-07
"rais",2.1964644639826e-05
"rang",7.26369424001737e-06
"rapid",8.34148887256623e-06
"rate",0.00203163887281135
"rates",3.7868400864212e-05
"ratio",1.39142317354529e-06
"reach",8.62623964407201e-06
"real",9.25784204385394e-05
"reason",1.71059546875034e-06
"rebound",3.02707011373389e-06
"receipt",1.44182521431827e-06
"receiv",4.1446845283078e-05
"recent",1.48684488952937e-05
"recess",3.99358600464852e-06
"recession",2.57752320400392e-06
"record",8.59613528368621e-06
"recov",6.17021297981649e-06
"recoveri",1.25193633917737e-05
"recovery",2.7790212968421e-06
"reduc",1.69413557446356e-05
"reduct",8.91085767072977e-06
"refinanc",6.87181421179821e-06
"reflect",1.04833166577278e-05
"reform",3.15965477905793e-05
"reforms",3.8708842283589e-06
"regim",3.28127540279419e-06
"region",3.36753614052865e-05
"regist",2.44762917941693e-06
"regul",2.5423326181499e-05
"regulatori",2.17015959836565e-06
"relat",8.03756392146087e-06
"releas",3.61260918023805e-06
"reli",1.47362352821542e-06
"relief",1.25174366445365e-06
"reluct",1.44741611408452e-06
"remain",7.05879175434609e-05
"remaind",9.25346446802523e-07
"remitt",1.09037648420713e-05
"remov",2.05503140333178e-06
"renew",2.04131207114675e-06
"repay",3.18783854511599e-06
"replac",6.40333648471766e-06
"repo",5.67269655493191e-06
"report",0.00106412050688217
"repres",1.10332714311599e-05
"requir",1.68003652492128e-05
"reserv",2.19231717994057e-05
"reserves",6.8770112868389e-06
"resist",5.85565730149847e-07
"resourc",4.44586396986363e-06
"respond",1.56404911977253e-06
"respons",7.35612603382213e-06
"rest",1.05505953897325e-06
"restor",1.17811795799937e-06
"restrict",2.43350207903057e-06
"restructur",1.03730497846295e-05
"result",1.40114717143373e-05
"resum",3.92635907542648e-07
"retail",1.70707036955317e-06
"retain",6.67478721666323e-07
"return",7.03132405735857e-06
"revenu",1.0951162690001e-05
"revenue",2.4611249884258e-06
"revers",2.80686862331307e-06
"review",5.06821015638119e-06
"revis",1.83774938253785e-06
"right",7.11478568406499e-06
"rise",0.000438891598596036
"risen",4.14484289864692e-06
"risk",4.29946527828216e-05
"robust",1.86140611453252e-05
"role",8.21250776604671e-06
"rose",1.52464269848258e-05
"round",9.57458908619303e-07
"rule",4.63201519592919e-06
"run",3.46376414970631e-06
"sale",1.28160582145808e-05
"save",2.51684621399397e-06
"scale",7.44680009349555e-07
"scene",2.19667517886396e-06
"schedul",1.68890538306393e-06
"scheme",2.80078990029275e-06
"scope",2.72562374725314e-06
"season",5.24927425009675e-07
"sector",0.000443865050532561
"sectors",5.64252355381605e-06
"secur",3.36987763892613e-05
"seek",4.32393422783338e-06
"sell",2.26767327522048e-06
"sentiment",2.08139297185522e-06
"septemb",9.98953379745486e-06
"september",1.43208872194792e-06
"seri",3.37528855956741e-06
"serv",5.08722431309302e-07
"servic",2.31895407851897e-05
"services",4.81279913563578e-06
"set",1.01563395647964e-05
"sever",4.03853028315873e-06
"share",1.03395884149823e-05
"sharp",7.21408216206342e-06
"sharpli",8.42731600215569e-06
"sharply",5.04871779959858e-07
"shift",2.46599389668366e-06
"short",2.27609445595624e-06
"shortag",1.43305397920556e-06
"shortterm",8.21466997543689e-06
"show",6.69780087712867e-06
"side",1.59765157719089e-06
"sign",1.07044743610831e-05
"signal",3.98486278880457e-07
"signific",9.34290477821162e-06
"similar",1.48856650482328e-06
"sinc",2.22771474437097e-06
"singl",1.52078149684731e-06
"situat",2.43912310100246e-06
"size",9.84989985299502e-07
"slight",2.01601624602311e-05
"slightly",1.95019849552685e-06
"slow",6.54831752184952e-05
"slowdown",2.01926334279389e-05
"slower",8.50808253591523e-06
"slowli",2.49561061926717e-06
"sluggish",1.71683041769887e-06
"small",1.27155653367133e-05
"smaller",6.19477749204338e-07
"social",7.49414457620961e-06
"sold",2.39334462803571e-06
"sourc",2.64550136641081e-06
"south",3.17009398073347e-06
"sovereign",1.5042502624072e-06
"special",5.83082710394214e-06
"specul",1.07121788550833e-06
"spend",4.83592215654962e-05
"spending",4.73219800703919e-06
"spread",1.77574142334255e-06
"stabil",5.46249798989435e-06
"stabilis",3.85382127718968e-06
"stability",5.94531968802295e-06
"stabl",4.24565768865997e-06
"stage",5.75996193524542e-07
"stake",1.80347132019961e-05
"stanc",3.82185036565804e-06
"stand",5.21689202298254e-06
"standard",2.57853910973516e-06
"start",5.84695070534705e-06
"state",0.000327456431568981
"statement",2.98764779281145e-06
"stateown",4.52540583143633e-05
"statist",8.08929338721024e-06
"stay",6.96691158652442e-06
"steadi",3.96989055106044e-06
"steadili",2.70935064652775e-06
"stem",2.50031971494596e-06
"step",7.59383622318846e-06
"stimul",1.63865434134537e-06
"stimulus",7.69976844947571e-06
