"iso2c","country","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C1_ma"
"HR","Croatia",2011-06-01,0.491199174632671,0.701441208554952,0.609064486727374,0.522173323985198,0.481417200615906,0.615527490446224,0.18800719325413,0.576578440388047,0.66194426548318,0.369265703782684,0.550157999677558
"CU","Cuba",2003-01-01,0.333699848339532,0.461591325322485,0.632352281742319,0.46006692852108,0.231485439758719,0.450433895691425,0.448598414280043,0.335128623426475,0.788267786457171,0.408695107115476,NA
"CU","Cuba",2003-02-01,0.51477769500828,0.513712544976673,0.510819870589906,0.739817357149107,0.328653036492342,0.538097731567059,0.529632631692447,0.285235129937299,0.759211161198866,0.458998588765012,0.424238771673906
"CU","Cuba",2003-03-01,0.345780913660212,0.39182370930574,0.642391829958606,0.46208492559973,0.25143305631931,0.39978288021655,0.36012932522441,0.240379023952557,0.772435357116904,0.536492671877166,0.430279304334246
"CU","Cuba",2003-05-01,0.597208570616622,0.408403654100716,0.489055949453969,0.706177586339619,0.26036686540278,0.478219553634779,0.43677730149152,0.253946390162156,0.674762976182019,0.561297031713046,0.471494742138417
"CU","Cuba",2003-06-01,0.319401321936392,0.435505173454167,0.60830610756878,0.425154153312641,0.320018179131329,0.451131479469407,0.36770462294069,0.289122134470827,0.906320604388129,0.524303772680544,0.458304946276507
"CU","Cuba",2003-07-01,0.406038391818657,0.396777089347396,0.558039661374328,0.445958305741607,0.313873429076496,0.650604958882619,0.381835089955804,0.351057667089355,0.864282389360975,0.564126221315707,0.362719856877525
"CU","Cuba",2003-08-01,0.600601981972272,0.418402201846188,0.392357959257887,0.653307854200961,0.382422046722146,0.601590853031297,0.412454276209998,0.22442201198205,0.836273814085178,0.51575537052104,0.503320186895465
"CU","Cuba",2003-09-01,0.382394010126027,0.363241447244455,0.484907964092166,0.431981266121278,0.303805039181864,0.699197754997323,0.434372026221198,0.329833618734761,0.836903715632211,0.508344385841376,0.491497996049149
"CU","Cuba",2003-11-01,0.581247690903541,0.430896850997331,0.478613425940956,0.671329605507174,0.318803974254057,0.642167251513886,0.500336488417735,0.327976491288919,0.811411227561593,0.582168977456717,0.481820850514784
"CU","Cuba",2003-12-01,0.25941043406719,0.382883079725077,0.580859389556114,0.400819671784001,0.22632231354082,0.5597037940511,0.371495420341389,0.374178336672034,0.86658734254619,0.496329669556127,0.420329062485366
